DateTime,Entries,UniqueIPs
1584419087,69888,69888
1584420990,70413,70413
1584422898,71130,71130
1584426042,72072,72072
1584427953,72634,72634
1584429899,73577,73577
1584431847,74229,74229
1584434946,74948,74948
1584436816,75508,75508
1584438753,76247,76247
1584440682,76447,76447
1584442589,75795,75795
1584444494,75215,75215
1584446602,74725,74725
1584448589,74123,74123
1584450538,73695,73695
1584452417,73288,73288
1584454360,72764,72764
1584456296,72175,72175
1584458176,71687,71687
1584460097,71575,71575
1584462028,71557,71557
1584463939,71518,71518
1584465877,71616,71616
1584467775,71784,71784
1584469945,71898,71898
1584471776,71966,71966
1584473814,72050,72050
1584475699,72098,72098
1584477617,70991,70991
1584479561,68281,68281
1584481454,65963,65963
1584483385,64671,64671
1584485313,62603,62603
1584487222,60548,60548
1584489180,58142,58142
1584491235,56653,56653
1584494179,53182,53182
1584496135,48394,48394
1584498038,44708,44708
1584500000,40772,40772
1584501914,38513,38513
1584503747,36135,36135
1584505698,34079,34079
1584508577,31010,31010
1584510535,28563,28563
1584512417,26489,26489
1584514367,24069,24069
1584516287,22053,22053
1584518204,20038,20038
1584520097,18373,18373
1584522358,16222,16222
1584524214,15004,15004
1584526096,13933,13933
1584528018,13709,13709
1584529992,13706,13706
