DateTime,AddedIPs,RemovedIPs
1584461702,274,0
1584463457,7,0
1584465376,17,9
1584467323,15,6
1584468902,319,0
1584471152,30,25
1584471625,785,840
1584474965,26,29
1584476102,247,0
1584476884,15,13
1584478823,20,22
1584480729,39,16
1584482652,35,16
1584483302,248,0
1584484583,36,11
1584486757,20,5
1584488654,54,87
1584490566,21,11
1584492505,274,3216
1584494408,21,11
1584496334,75,15
1584498262,120,20
1584500422,36,83
1584502351,347,45
1584504254,43,46
1584506184,18,32
1584508094,28,21
1584510007,146,19
1584511952,15,0
1584512101,284,0
1584513847,15,14
1584515774,10,28
1584519613,141,28
1584521530,18,20
1584523467,12,24
1584525383,294,6
1584527292,11,10
1584529229,19,3
